doi,number,title,keywords,abstract,year
https://doi.org/10.1016/j.iot.2023.100884,,"Metaverse applications in smart cities: Enabling technologies, opportunities, challenges, and future directions","Metaverse, Internet of Things, Smart cities, Extended reality, Digital twins, Avatars, Virtual world","Recent years have witnessed a global trend toward the metaverse. The metaverse is a collection of immersive and interconnected digital spaces in which users can interact through computer-generated environments. As smart cities aim to enhance the experiences of their citizens by improving infrastructure, modernizing government services, increasing accessibility, accelerating economic growth, and promoting sustainability, the metaverse has the potential to significantly revolutionize, reshape, and transform smart cities. In this paper, we discuss how leveraging the metaverse for smart cities can stimulate innovations and bring about major improvements. We discuss the key enabling technologies for the metaverse, along with the premier benefits of adopting this technology and the opportunities it presents for smart city applications. We present ongoing projects and case studies to showcase the practicality of metaverse technology across various industries. Furthermore, we identify and discuss critical research challenges that currently impede the realization of the full potential of the metaverse. Finally, we outline future research directions that can be pursued to further the development of the metaverse and its integration with smart cities.",2023
https://doi.org/10.1016/j.giq.2022.101799,2.0,Smart cities & citizen discontent: A systematic review of the literature,"Critical citizenship, Active and passive discontentment, Government response, PRISMA","Governments across the world are experimenting with smart city technologies but recent studies suggest that not all citizens support this development. However, a comprehensive understanding of citizen discontent with the smart city is missing. This study systematically reviews academic research addressing citizen discontent with the smart city. Based on a set of 58 articles, two perspectives on citizens' discontent are identified. One perspective focuses on active discontent: citizens are dissatisfied with the technology, democratic process, and societal impact of the smart city and show different types of behavior to express their discontentment. The other perspective emphasizes passive discontent: citizen discontent does not manifest itself due to citizens' lack of awareness and skills and the absence of channels to express their discontentment. Both perspectives on discontent suggest different government responses respectively to overcome citizen discontent through ‘the right technologies’, ‘the right rules’, and ‘the right information’, or to stimulate critical citizenship through ‘the right to smart city education and empowerment’ and the ‘right to participate and challenge’. Based on our findings, a fine-grained understanding of attitudes and behavior, and government actions to address citizen discontent is developed.",2023
https://doi.org/10.1016/j.joitmc.2023.100157,4.0,Towards AI-governance in psychosocial care: A systematic literature review analysis,"Resilience, Wellbeing, Artificial Intelligence, AI-governance, Public services","With increased digitalization and e-government services, Artificial Intelligence (AI) gained momentum. This paper focuses on AI-governance in Child Social Care field, exploring how aspects of individual, family/community factors are embedded in organizational level, especially when dealing with children resilience and wellbeing. A three-level based review has been conducted. In the first part we explored the interlink between individual factors associated to either resilience or wellbeing are connected to community and governance level where a new conceptual model is provided. In the second phase, we conducted an in-depth systematic literature review using PRISMA review protocol where new categorizations of identified literature with respect to individual, family and community levels in child social care field were suggested, while in the third phase, a review of relevant AI-initiatives in Europe and USA was performed. Finally, a comprehensive discussion of the literature review outcomes was carried out and a new updated conceptual model was provided.",2023
https://doi.org/10.1016/j.forpol.2021.102506,,"Innovation governance in the forest sector: Reviewing concepts, trends and gaps","Literature review, State-of-art, Forestry, Wood industry, Bioeconomy, Social innovation","Innovation in the forest sector is a growing research interest and within this field, there is a growing attention for institutional, policy and societal dimensions and particular when it comes to the question of how to support innovativeness in the sector. This Special Issue therefore focuses on governance aspects, relating to and bridging business and political-institutional-societal levels. This includes social/societal factors, goals and implications that have recently been studied under the label of social innovation. Furthermore, the emergence of bioeconomy as a paradigm and policy goal has become a driver for a variety of innovation processes on company and institutional levels. Our article provides a tentative definition of “innovation governance” and attempts a state-of-art review of innovation governance research in the forest sector. For structuring the research field, we propose to distinguish between organizational/managerial, policy or innovation studies. For the forestry sector, specifically, we suggest to distinguish between studies focusing on (i) innovative governance of forest management and forest goods and services; on (ii) the governance of innovation processes as such, or (iii) on specific (transformational) approaches that may be derived from combined goals such as innovation governance for sustainability, regional development, or a bioeconomy. Studies in the forest sector are picking up new trends from innovation research that increasingly include the role of societal changes and various stakeholders such as civil society organizations and users. They also include public-private partnership models or participatory governance. We finally should not only look in how far research approaches from outside are applied in the sector but we believe that the sector could contribute much more to our general scientific knowledge on ways for a societal transformation to sustainability.",2021
https://doi.org/10.1016/j.rser.2023.113858,,Mapping smart farming: Addressing agricultural challenges in data-driven era,"Internet of things (IoT), Smart farming, Scientific mapping, Domain visualization","Internet of Things (IoT) technology plays an important role in advancing the transformation of labor-intensive traditional agriculture into data-driven smart farming by providing technological and theoretical support to address the challenges of food shortages caused by rapid population growth, as well as the sustainable development challenges posed by the scarcity of natural resources due to climate warming. IoT smart farming is a multidisciplinary field encompassing agricultural knowledge, communication technologies, automation, artificial intelligence, and computing. The research in this domain has rapidly expanded and accumulated. Despite the availability of some review studies, their primary focal points pertain to assessing the architectures, devices, and communication technologies utilized in IoT smart farming, thus providing a thorough introduction to this research domain. This review employs scientific mapping to visualize the IoT smart farming research domain, exploring various research themes and their profiles, identifying highly cited and important research in the citation networks, and tracking the evolution of research interests. It offers a comprehensive overview of the field and proposes potential future work to address current research gaps, promoting interdisciplinary collaboration to support decision-makers in the agriculture sector.",2024
https://doi.org/10.1016/S0140-6736(22)00583-9,10341.0,Global health diplomacy—reconstructing power and governance,,"Summary
Over the past two decades, global health diplomacy, foreign policy for health, and global health policy have changed substantially. Diplomacy is a constitutive part of the system of global health governance. COVID-19 hit the world when multilateral cooperation was subject to major challenges, and global health has since become integral to geopolitics. The importance of global health diplomacy, especially at WHO, in keeping countries jointly committed to improving health for everyone, has once again been shown. Through a systematic review, this Series paper explores how international relations concepts and theories have been applied to better understand the role of power in shaping positions, negotiations, and outcomes in global health diplomacy. We apply an international relations perspective to reflect on the effect that those concepts and theories have had on global health diplomacy over the past two decades. This Series paper argues that a more central role of international relations concepts and theories in analysing global health diplomacy would help develop a more nuanced understanding of global health policy making. However, the world has changed to an extent that was not envisioned in academic discourse. This shift calls for new international relations concepts and theories to inform global health diplomacy.",2022
https://doi.org/10.1016/j.cosrev.2021.100452,,"Developing future human-centered smart cities: Critical analysis of smart city security, Data management, and Ethical challenges","Smart cities, Machine learning, AI ethics, Adversarial attacks, Explainability, Interpretability, Privacy, Security, Data management, Data auditing, Data ownership, Data bias, Trojan attacks, Evasion attacks","As the globally increasing population drives rapid urbanization in various parts of the world, there is a great need to deliberate on the future of the cities worth living. In particular, as modern smart cities embrace more and more data-driven artificial intelligence services, it is worth remembering that (1) technology can facilitate prosperity, wellbeing, urban livability, or social justice, but only when it has the right analog complements (such as well-thought out policies, mature institutions, responsible governance); and (2) the ultimate objective of these smart cities is to facilitate and enhance human welfare and social flourishing. Researchers have shown that various technological business models and features can in fact contribute to social problems such as extremism, polarization, misinformation, and Internet addiction. In the light of these observations, addressing the philosophical and ethical questions involved in ensuring the security, safety, and interpretability of such AI algorithms that will form the technological bedrock of future cities assumes paramount importance. Globally there are calls for technology to be made more humane and human-centered. In this paper, we analyze and explore key challenges including security, robustness, interpretability, and ethical (data and algorithmic) challenges to a successful deployment of AI in human-centric applications, with a particular emphasis on the convergence of these concepts/challenges. We provide a detailed review of existing literature on these key challenges and analyze how one of these challenges may lead to others or help in solving other challenges. The paper also advises on the current limitations, pitfalls, and future directions of research in these domains, and how it can fill the current gaps and lead to better solutions. We believe such rigorous analysis will provide a baseline for future research in the domain.",2022
https://doi.org/10.1016/j.iot.2024.101291,,The EU's AI Act: A Framework for Collaborative Governance,"popularization, civil society, stakeholders, governance, “black box”, collaborative logic","In February 2024, the Council and the European Parliament (EP) agreed on the Artificial Intelligence Regulation (usually known as AI Act, AIA)11We use the AI Act version P9_TA(2024)0138 Artificial Intelligence Act European Parliament legislative resolution of 13 March 2024 on the proposal for a regulation of the European Parliament and of the Council on laying down harmonised rules on Artificial Intelligence (Artificial Intelligence Act) and amending certain Union Legislative Acts (COM(2021)0206–C9-0146/2021–2021/0106(COD)). https://www.europarl.europa.eu/doceo/document/TA-9-2024-0138_EN.pdf. This regulation evaluates AI applications to ensure they are used ethically and responsibly, promoting the development of safe and lawful AI across the EU's single market. It establishes a comprehensive legal framework with a risk-based approach, aiming to achieve a balance between protecting the health, safety, and fundamental rights of European citizens and ensuring that the growing AI industry in Europe remains competitive and continues to innovate. The AIA also includes governance mechanisms oriented towards achieving effective implementation throughout the EU. For this purpose, a European Artificial Intelligence Office has already been established. In accordance with the provisions of the forthcoming AIA, it will establish a European Artificial Intelligence Board, an advisory forum, and a scientific panel. Furthermore, it will be set up at the national level the so-called national competent authorities. In this way, a single European governance system for AI is emerging, inspired by collaborative governance, which is essential for achieving fair and effective implementation of AI regulations across the EU. The main objective of this text is to critically examine the governance system established by the AIA. Using the contents of the current version of the AIA (April 2024), this analysis delves into the mechanisms and structures designed to implement AI across the EU. As a conclusion, it offers a critical perspective on the collaborative governance, highlighting its strengths and potential areas for improvement.",2024
https://doi.org/10.1016/j.impact.2023.100483,,A roadmap to strengthen standardisation efforts in risk governance of nanotechnology,"Risk-governance for nanotechnology, Standardisation, Roadmap, Harmonised test methods","A roadmap was developed to strengthen standardisation activities for risk governance of nanotechnology. Its baseline is the available standardised and harmonised methods for nanotechnology developed by the International Organization for Standardization (ISO), the European Committee for Standardization (CEN), and the Organisation for Economic Co-operation and Development (OECD). In order to identify improvements and needs for new themes in standardisation work, an analysis of the state-of-the-art concepts and interpretations of risk governance of nanotechnology was performed. Eleven overall areas of action were identified, each including a subset of specific topics. Themes addressed include physical chemical characterisation, assessment of hazard, exposure, risk and socio-economic factors, as well as education & training and social dialogue. This has been visualised in a standardisation roadmap spanning a timeframe of ten years and including key outcomes and highlights of the analysis. Furthermore, the roadmap indicates potential areas of action for harmonisation and standardisation (H&S) for nanomaterials and nanotechnology. It also includes an evaluation of the current level (limited, moderate, intense) of ongoing H&S activities and indicates the time horizon for the different areas of action. As the identified areas differ in their state of development, the number and type of actions varied widely amongst the different actions towards achieving standardisation. Thus, priority areas were also identified. The overall objective of these actions is to strengthen risk governance towards a safe use of nanomaterials and nano-related products. Though not explicitly addressed, risk-based legislation and policies are supported via the proposed H&S actions.",2023
https://doi.org/10.1016/j.iot.2024.101246,,Smart University: A pathway for advancing Sustainable Development Goals,"Sustainability, Sustainable Development Goals, SDG, Smart University, Smart campus","This paper aims to highlight the potential of smart university solutions in contributing to the advancement of the United Nations Sustainable Development Goals (SDGs). We surveyed solutions tailored to address each of the seventeen SDGs with an emphasis on identifying those adaptable within university settings. Our research reveals a diverse array of solutions within the university environment that align with the SDGs. Remarkably, we have identified initiatives relevant even to goals seemingly peripheral to the university’s primary mission, such as those addressing poverty eradication. On a further step, we have established a correlation between the smart university concept and the SDGs, effectively showcasing the practicality of utilizing existing solutions to enhance and accomplish all goals. We also propose definitions and a well-structured taxonomy for smart university and smart campus to support our study and guide future research.",2024
https://doi.org/10.1016/j.rser.2023.113185,,Diagnosis of the implementation of smart grid innovation in The Netherlands and corrective actions,"Smart grid, Systemic failures, System functions, Technological Innovation System, The Netherlands, Transformational failures","With its potentially disruptive nature, the smart grid can be viewed from both a transformational and an innovation systems perspective. Synthesising these, a research approach is adopted in which a Technological Innovation System (TIS) analysis is combined with a transformational perspective to identify a broader range of success and failure factors. This study analyses smart grid innovation system development. The main research question is: What systemic and transformational failures are identified in the development of smart grid innovation in the Netherlands from 2001 to 2021 by combining TIS and a transformational perspective? The question is answered by mapping the events to TIS functions and identifying both ‘systemic failures’ and ‘transformational failures’. Transformational failures are linked to events outside the smart grid TIS that work against the alignment and harmonising of activities within the TIS. Results show that the smart grid innovation system experienced three periods and that it suffers from various structural and transformational failures. TIS functions like knowledge diffusion, and the creation of legitimacy were only fulfilled to a limited extent. Consequently, smart grid innovation is currently still not considered a mainstream technology in the energy transition, and there is little attention to the role of end-users. The study ends with suggestions for future research, including the suitability of the research approach for other contexts and when applied to other energy system innovations.",2023
https://doi.org/10.1016/j.ese.2023.100330,,Smarter eco-cities and their leading-edge artificial intelligence of things solutions for environmental sustainability: A comprehensive systematic review,"Smarter eco-cities, Smart eco-cities, Smart cities, Artificial intelligence, Artificial intelligence of things, Machine learning, Environmental sustainability, Climate change","The recent advancements made in the realms of Artificial Intelligence (AI) and Artificial Intelligence of Things (AIoT) have unveiled transformative prospects and opportunities to enhance and optimize the environmental performance and efficiency of smart cities. These strides have, in turn, impacted smart eco-cities, catalyzing ongoing improvements and driving solutions to address complex environmental challenges. This aligns with the visionary concept of smarter eco-cities, an emerging paradigm of urbanism characterized by the seamless integration of advanced technologies and environmental strategies. However, there remains a significant gap in thoroughly understanding this new paradigm and the intricate spectrum of its multifaceted underlying dimensions. To bridge this gap, this study provides a comprehensive systematic review of the burgeoning landscape of smarter eco-cities and their leading-edge AI and AIoT solutions for environmental sustainability. To ensure thoroughness, the study employs a unified evidence synthesis framework integrating aggregative, configurative, and narrative synthesis approaches. At the core of this study lie these subsequent research inquiries: What are the foundational underpinnings of emerging smarter eco-cities, and how do they intricately interrelate, particularly urbanism paradigms, environmental solutions, and data-driven technologies? What are the key drivers and enablers propelling the materialization of smarter eco-cities? What are the primary AI and AIoT solutions that can be harnessed in the development of smarter eco-cities? In what ways do AI and AIoT technologies contribute to fostering environmental sustainability practices, and what potential benefits and opportunities do they offer for smarter eco-cities? What challenges and barriers arise in the implementation of AI and AIoT solutions for the development of smarter eco-cities? The findings significantly deepen and broaden our understanding of both the significant potential of AI and AIoT technologies to enhance sustainable urban development practices, as well as the formidable nature of the challenges they pose. Beyond theoretical enrichment, these findings offer invaluable insights and new perspectives poised to empower policymakers, practitioners, and researchers to advance the integration of eco-urbanism and AI- and AIoT-driven urbanism. Through an insightful exploration of the contemporary urban landscape and the identification of successfully applied AI and AIoT solutions, stakeholders gain the necessary groundwork for making well-informed decisions, implementing effective strategies, and designing policies that prioritize environmental well-being.",2024
https://doi.org/10.1016/j.scs.2023.104562,,Algorithmic urban planning for smart and sustainable development: Systematic review of the literature,"Artificial intelligence, Big data, Urban planning, Urban development, Sustainable development, Smart cities","In recent years, artificial intelligence (AI) has been increasingly put into use to address cities’ economic, social, environmental, and governance challenges. Thanks to its advanced capabilities, AI is set to become one of local governments’ principal means of achieving smart and sustainable development. AI utilisation for urban planning, nonetheless, is a relatively understudied area of research, particularly in terms of the gap between theory and practice. This study presents a comprehensive review of the areas of urban planning in which AI technologies are contemplated or applied, and it is analysed how AI technologies support or could potentially support smart and sustainable development. Regarding the methodological approach, this is a systematic literature review following the PRISMA protocol. The obtained insights include: (a) Early adopters’ real-world AI applications in urban planning are paving the way to wider local government AI adoption; (b) Achieving wider AI adoption for urban planning involves collaboration and partnership between key stakeholders; (c) Big data is an integral element for effective AI utilisation in urban planning, and; (d) Convergence of artificial and human intelligence is crucial to address urbanisation issues adequately and to achieve smart and sustainable development. These insights highlight the importance of making planning smarter through advanced data and analytical methods.",2023
https://doi.org/10.1016/j.scitotenv.2023.163925,,"Challenges, recent development, and opportunities of smart waste collection: A review","Smart City, Waste management, IoT-enabled waste collection, Smart Bin","Population growth and changing consumption patterns make waste management a significant global challenge. Studies evaluated that by 2050 almost 67 % of the Earth's population will live in megacities, which guides the requirement of smart assistance to answer the citizens' demands. Waste collection is an efficient IoT service that takes advantage of cost and energy efficiency. The fundamental end of this study is a review of utilizing IoT for waste collection to introduce technologies for waste collection in an eco-friendly method. This study investigated information and communication technologies (ICTs), including spatial, identification, acquisition, and data communication technologies. It also reviews several energy harvesting technologies for more cost reduction. The results showed that applying these technologies reduces costs and energy usage and can change the future of waste management.",2023
https://doi.org/10.1016/j.socscimed.2020.113252,,Balancing hospital governance: A systematic review of 15 years of empirical research,"Board, Executive team, Governance, Health care, Hospital, Systematic review","It is crucial that we gain a deeper understanding of the features of organizational governance and how they contribute to hospital performance. Health care governance research has traditionally had a strong focus on the size and composition (i.e., the attributes) of the governing bodies, but less attention has been given to the dynamics, processes, and roles. Furthermore, evidence regarding the interconnection between the board and the executive management is lacking. This systematic literature review is thus intended to give a detailed summary of the attributes, the dynamics, and the processes, as well as the roles of governing bodies, by synthesizing the findings of published empirical studies. The framework of Kane et al. (2009) was used to position the results, taking into account external constraints and outputs/performance. Sixty-three studies were included in the systematic review. The majority of these studies deal with attributes (n = 34) and roles (n = 27); the smallest number of studies (n = 11) focus on dynamics and processes. There is a lack of consistency in the research findings on attributes and there is too little research into the dynamics and processes of hospital governance. However, it has been shown that clinical participation on the hospital board and the focus on quality in hospital board roles can have a beneficial effect. The studies do not provide sufficient direction on what best practice for governing hospitals should be. For this reason, we here provide a useful framework for understanding the aspects of governance and their impact on performance in hospitals and compare these with general corporate governance literature. Therefrom we propose avenues for further research.",2020
